category,name,nameZh,nickname,description,descriptionZh,super,property,supersededBy,domain,range,inverseOf,schemaUrl
class,AMRadioChannel,,,A radio channel that uses AM.,,http://kgs.mykg.ai/RadioChannel,"http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/broadcastChannelId, http://kgs.mykg.ai/broadcastFrequency, http://kgs.mykg.ai/broadcastServiceTier, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/genre, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/inBroadcastLineup, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/name, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/providesBroadcastService, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/url",,,,,http://schema.org/AMRadioChannel
class,APIReference,API文档,APIDocument,Reference documentation for application programming interfaces (APIs).,应用程序接口（API）的参考文档,http://kgs.mykg.ai/TechArticle,"http://kgs.mykg.ai/about, http://kgs.mykg.ai/accessMode, http://kgs.mykg.ai/accessModeSufficient, http://kgs.mykg.ai/accessibilityAPI, http://kgs.mykg.ai/accessibilityControl, http://kgs.mykg.ai/accessibilityFeature, http://kgs.mykg.ai/accessibilityHazard, http://kgs.mykg.ai/accessibilitySummary, http://kgs.mykg.ai/accountablePerson, http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/aggregateRating, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/alternativeHeadline, http://kgs.mykg.ai/articleBody, http://kgs.mykg.ai/articleSection, http://kgs.mykg.ai/assembly, http://kgs.mykg.ai/assemblyVersion, http://kgs.mykg.ai/associatedMedia, http://kgs.mykg.ai/audience, http://kgs.mykg.ai/audio, http://kgs.mykg.ai/author, http://kgs.mykg.ai/award, http://kgs.mykg.ai/awards, http://kgs.mykg.ai/character, http://kgs.mykg.ai/citation, http://kgs.mykg.ai/comment, http://kgs.mykg.ai/commentCount, http://kgs.mykg.ai/contentLocation, http://kgs.mykg.ai/contentRating, http://kgs.mykg.ai/contributor, http://kgs.mykg.ai/copyrightHolder, http://kgs.mykg.ai/copyrightYear, http://kgs.mykg.ai/creator, http://kgs.mykg.ai/dateCreated, http://kgs.mykg.ai/dateModified, http://kgs.mykg.ai/datePublished, http://kgs.mykg.ai/dependencies, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/discussionUrl, http://kgs.mykg.ai/editor, http://kgs.mykg.ai/educationalAlignment, http://kgs.mykg.ai/educationalUse, http://kgs.mykg.ai/encoding, http://kgs.mykg.ai/encodingFormat, http://kgs.mykg.ai/encodings, http://kgs.mykg.ai/exampleOfWork, http://kgs.mykg.ai/executableLibraryName, http://kgs.mykg.ai/expires, http://kgs.mykg.ai/fileFormat, http://kgs.mykg.ai/funder, http://kgs.mykg.ai/genre, http://kgs.mykg.ai/hasPart, http://kgs.mykg.ai/headline, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/inLanguage, http://kgs.mykg.ai/interactionStatistic, http://kgs.mykg.ai/interactivityType, http://kgs.mykg.ai/isAccessibleForFree, http://kgs.mykg.ai/isBasedOn, http://kgs.mykg.ai/isBasedOnUrl, http://kgs.mykg.ai/isFamilyFriendly, http://kgs.mykg.ai/isPartOf, http://kgs.mykg.ai/keywords, http://kgs.mykg.ai/learningResourceType, http://kgs.mykg.ai/license, http://kgs.mykg.ai/locationCreated, http://kgs.mykg.ai/mainEntity, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/material, http://kgs.mykg.ai/mentions, http://kgs.mykg.ai/name, http://kgs.mykg.ai/offers, http://kgs.mykg.ai/pageEnd, http://kgs.mykg.ai/pageStart, http://kgs.mykg.ai/pagination, http://kgs.mykg.ai/position, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/producer, http://kgs.mykg.ai/proficiencyLevel, http://kgs.mykg.ai/programmingModel, http://kgs.mykg.ai/provider, http://kgs.mykg.ai/publication, http://kgs.mykg.ai/publisher, http://kgs.mykg.ai/publishingPrinciples, http://kgs.mykg.ai/recordedAt, http://kgs.mykg.ai/releasedEvent, http://kgs.mykg.ai/review, http://kgs.mykg.ai/reviews, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/schemaVersion, http://kgs.mykg.ai/sourceOrganization, http://kgs.mykg.ai/spatial, http://kgs.mykg.ai/spatialCoverage, http://kgs.mykg.ai/speakable, http://kgs.mykg.ai/sponsor, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/targetPlatform, http://kgs.mykg.ai/temporal, http://kgs.mykg.ai/temporalCoverage, http://kgs.mykg.ai/text, http://kgs.mykg.ai/thumbnailUrl, http://kgs.mykg.ai/timeRequired, http://kgs.mykg.ai/translator, http://kgs.mykg.ai/typicalAgeRange, http://kgs.mykg.ai/url, http://kgs.mykg.ai/version, http://kgs.mykg.ai/video, http://kgs.mykg.ai/wordCount, http://kgs.mykg.ai/workExample",,,,,http://schema.org/APIReference
class,AboutPage,关于我们,,Web page type: About page.,网站相关的组织或个人的介绍页面,http://kgs.mykg.ai/WebPage,"http://kgs.mykg.ai/about, http://kgs.mykg.ai/accessMode, http://kgs.mykg.ai/accessModeSufficient, http://kgs.mykg.ai/accessibilityAPI, http://kgs.mykg.ai/accessibilityControl, http://kgs.mykg.ai/accessibilityFeature, http://kgs.mykg.ai/accessibilityHazard, http://kgs.mykg.ai/accessibilitySummary, http://kgs.mykg.ai/accountablePerson, http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/aggregateRating, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/alternativeHeadline, http://kgs.mykg.ai/associatedMedia, http://kgs.mykg.ai/audience, http://kgs.mykg.ai/audio, http://kgs.mykg.ai/author, http://kgs.mykg.ai/award, http://kgs.mykg.ai/awards, http://kgs.mykg.ai/breadcrumb, http://kgs.mykg.ai/character, http://kgs.mykg.ai/citation, http://kgs.mykg.ai/comment, http://kgs.mykg.ai/commentCount, http://kgs.mykg.ai/contentLocation, http://kgs.mykg.ai/contentRating, http://kgs.mykg.ai/contributor, http://kgs.mykg.ai/copyrightHolder, http://kgs.mykg.ai/copyrightYear, http://kgs.mykg.ai/creator, http://kgs.mykg.ai/dateCreated, http://kgs.mykg.ai/dateModified, http://kgs.mykg.ai/datePublished, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/discussionUrl, http://kgs.mykg.ai/editor, http://kgs.mykg.ai/educationalAlignment, http://kgs.mykg.ai/educationalUse, http://kgs.mykg.ai/encoding, http://kgs.mykg.ai/encodingFormat, http://kgs.mykg.ai/encodings, http://kgs.mykg.ai/exampleOfWork, http://kgs.mykg.ai/expires, http://kgs.mykg.ai/fileFormat, http://kgs.mykg.ai/funder, http://kgs.mykg.ai/genre, http://kgs.mykg.ai/hasPart, http://kgs.mykg.ai/headline, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/inLanguage, http://kgs.mykg.ai/interactionStatistic, http://kgs.mykg.ai/interactivityType, http://kgs.mykg.ai/isAccessibleForFree, http://kgs.mykg.ai/isBasedOn, http://kgs.mykg.ai/isBasedOnUrl, http://kgs.mykg.ai/isFamilyFriendly, http://kgs.mykg.ai/isPartOf, http://kgs.mykg.ai/keywords, http://kgs.mykg.ai/lastReviewed, http://kgs.mykg.ai/learningResourceType, http://kgs.mykg.ai/license, http://kgs.mykg.ai/locationCreated, http://kgs.mykg.ai/mainContentOfPage, http://kgs.mykg.ai/mainEntity, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/material, http://kgs.mykg.ai/mentions, http://kgs.mykg.ai/name, http://kgs.mykg.ai/offers, http://kgs.mykg.ai/position, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/primaryImageOfPage, http://kgs.mykg.ai/producer, http://kgs.mykg.ai/provider, http://kgs.mykg.ai/publication, http://kgs.mykg.ai/publisher, http://kgs.mykg.ai/publishingPrinciples, http://kgs.mykg.ai/recordedAt, http://kgs.mykg.ai/relatedLink, http://kgs.mykg.ai/releasedEvent, http://kgs.mykg.ai/review, http://kgs.mykg.ai/reviewedBy, http://kgs.mykg.ai/reviews, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/schemaVersion, http://kgs.mykg.ai/significantLink, http://kgs.mykg.ai/significantLinks, http://kgs.mykg.ai/sourceOrganization, http://kgs.mykg.ai/spatial, http://kgs.mykg.ai/spatialCoverage, http://kgs.mykg.ai/speakable, http://kgs.mykg.ai/specialty, http://kgs.mykg.ai/sponsor, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/temporal, http://kgs.mykg.ai/temporalCoverage, http://kgs.mykg.ai/text, http://kgs.mykg.ai/thumbnailUrl, http://kgs.mykg.ai/timeRequired, http://kgs.mykg.ai/translator, http://kgs.mykg.ai/typicalAgeRange, http://kgs.mykg.ai/url, http://kgs.mykg.ai/version, http://kgs.mykg.ai/video, http://kgs.mykg.ai/workExample",,,,,http://schema.org/AboutPage
class,AcceptAction,动作：接受,,"The act of committing to/adopting an object.<br/><br/><br/><br/>Related actions:<br/><br/><br/><br/><ul><li><a class=""localLink"" href=""http://schema.org/RejectAction"">RejectAction</a>: The antonym of AcceptAction.</li></ul>",提交或接受一个事物的动作。 相关动作: 拒绝动作: 接受动作的反义词,http://kgs.mykg.ai/AllocateAction,"http://kgs.mykg.ai/actionStatus, http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/agent, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/endTime, http://kgs.mykg.ai/error, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/instrument, http://kgs.mykg.ai/location, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/name, http://kgs.mykg.ai/object, http://kgs.mykg.ai/participant, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/result, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/startTime, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/target, http://kgs.mykg.ai/url",,,,,http://schema.org/AcceptAction
class,Accommodation,住所,"住处,居所","An accommodation is a place that can accommodate human beings, e.g. a hotel room, a camping pitch, or a meeting room. Many accommodations are for overnight stays, but this is not a mandatory requirement.For more specific types of accommodations not defined in schema.org, one can use additionalType with external vocabularies.<br /><br />See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.",住宿是可以容纳人类的地方，例如酒店房间，露营场所或会议室，许多住宿都是过夜住宿，但这不是强制性要求。英文accommodation往往倾向于「膳宿」「提供食宿的地方」，或者「提供吃住的地方」。,http://kgs.mykg.ai/Place,"http://kgs.mykg.ai/additionalProperty, http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/address, http://kgs.mykg.ai/aggregateRating, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/amenityFeature, http://kgs.mykg.ai/branchCode, http://kgs.mykg.ai/containedIn, http://kgs.mykg.ai/containedInPlace, http://kgs.mykg.ai/containsPlace, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/event, http://kgs.mykg.ai/events, http://kgs.mykg.ai/faxNumber, http://kgs.mykg.ai/floorSize, http://kgs.mykg.ai/geo, http://kgs.mykg.ai/geoContains, http://kgs.mykg.ai/geoCoveredBy, http://kgs.mykg.ai/geoCovers, http://kgs.mykg.ai/geoCrosses, http://kgs.mykg.ai/geoDisjoint, http://kgs.mykg.ai/geoEquals, http://kgs.mykg.ai/geoIntersects, http://kgs.mykg.ai/geoOverlaps, http://kgs.mykg.ai/geoTouches, http://kgs.mykg.ai/geoWithin, http://kgs.mykg.ai/globalLocationNumber, http://kgs.mykg.ai/hasMap, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/isAccessibleForFree, http://kgs.mykg.ai/isicV4, http://kgs.mykg.ai/logo, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/map, http://kgs.mykg.ai/maps, http://kgs.mykg.ai/maximumAttendeeCapacity, http://kgs.mykg.ai/name, http://kgs.mykg.ai/numberOfRooms, http://kgs.mykg.ai/openingHoursSpecification, http://kgs.mykg.ai/permittedUsage, http://kgs.mykg.ai/petsAllowed, http://kgs.mykg.ai/photo, http://kgs.mykg.ai/photos, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/publicAccess, http://kgs.mykg.ai/review, http://kgs.mykg.ai/reviews, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/slogan, http://kgs.mykg.ai/smokingAllowed, http://kgs.mykg.ai/specialOpeningHoursSpecification, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/telephone, http://kgs.mykg.ai/url",,,,,http://schema.org/Accommodation
class,AccountingService,会计服务,,"Accountancy business.<br/><br/><br/><br/>As a <a class=""localLink"" href=""http://schema.org/LocalBusiness"">LocalBusiness</a> it can be described as a <a class=""localLink"" href=""http://schema.org/provider"">provider</a> of one or more <a class=""localLink"" href=""http://schema.org/Service"">Service</a>(s).",会计服务是指由会计，保证，财务管理服务，破产服务，投资咨询，管理咨询和税务等专业会计机构成员进行会计或相关技能的服务。,http://kgs.mykg.ai/FinancialService,"http://kgs.mykg.ai/additionalProperty, http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/address, http://kgs.mykg.ai/aggregateRating, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/alumni, http://kgs.mykg.ai/amenityFeature, http://kgs.mykg.ai/areaServed, http://kgs.mykg.ai/award, http://kgs.mykg.ai/awards, http://kgs.mykg.ai/branchCode, http://kgs.mykg.ai/branchOf, http://kgs.mykg.ai/brand, http://kgs.mykg.ai/contactPoint, http://kgs.mykg.ai/contactPoints, http://kgs.mykg.ai/containedIn, http://kgs.mykg.ai/containedInPlace, http://kgs.mykg.ai/containsPlace, http://kgs.mykg.ai/currenciesAccepted, http://kgs.mykg.ai/department, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/dissolutionDate, http://kgs.mykg.ai/duns, http://kgs.mykg.ai/email, http://kgs.mykg.ai/employee, http://kgs.mykg.ai/employees, http://kgs.mykg.ai/event, http://kgs.mykg.ai/events, http://kgs.mykg.ai/faxNumber, http://kgs.mykg.ai/feesAndCommissionsSpecification, http://kgs.mykg.ai/founder, http://kgs.mykg.ai/founders, http://kgs.mykg.ai/foundingDate, http://kgs.mykg.ai/foundingLocation, http://kgs.mykg.ai/funder, http://kgs.mykg.ai/geo, http://kgs.mykg.ai/geoContains, http://kgs.mykg.ai/geoCoveredBy, http://kgs.mykg.ai/geoCovers, http://kgs.mykg.ai/geoCrosses, http://kgs.mykg.ai/geoDisjoint, http://kgs.mykg.ai/geoEquals, http://kgs.mykg.ai/geoIntersects, http://kgs.mykg.ai/geoOverlaps, http://kgs.mykg.ai/geoTouches, http://kgs.mykg.ai/geoWithin, http://kgs.mykg.ai/globalLocationNumber, http://kgs.mykg.ai/hasMap, http://kgs.mykg.ai/hasOfferCatalog, http://kgs.mykg.ai/hasPOS, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/isAccessibleForFree, http://kgs.mykg.ai/isicV4, http://kgs.mykg.ai/legalName, http://kgs.mykg.ai/leiCode, http://kgs.mykg.ai/location, http://kgs.mykg.ai/logo, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/makesOffer, http://kgs.mykg.ai/map, http://kgs.mykg.ai/maps, http://kgs.mykg.ai/maximumAttendeeCapacity, http://kgs.mykg.ai/member, http://kgs.mykg.ai/memberOf, http://kgs.mykg.ai/members, http://kgs.mykg.ai/naics, http://kgs.mykg.ai/name, http://kgs.mykg.ai/numberOfEmployees, http://kgs.mykg.ai/openingHours, http://kgs.mykg.ai/openingHoursSpecification, http://kgs.mykg.ai/owns, http://kgs.mykg.ai/parentOrganization, http://kgs.mykg.ai/paymentAccepted, http://kgs.mykg.ai/photo, http://kgs.mykg.ai/photos, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/priceRange, http://kgs.mykg.ai/publicAccess, http://kgs.mykg.ai/publishingPrinciples, http://kgs.mykg.ai/review, http://kgs.mykg.ai/reviews, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/seeks, http://kgs.mykg.ai/serviceArea, http://kgs.mykg.ai/slogan, http://kgs.mykg.ai/smokingAllowed, http://kgs.mykg.ai/specialOpeningHoursSpecification, http://kgs.mykg.ai/sponsor, http://kgs.mykg.ai/subOrganization, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/taxID, http://kgs.mykg.ai/telephone, http://kgs.mykg.ai/url, http://kgs.mykg.ai/vatID",,,,,http://schema.org/AccountingService
class,AchieveAction,动作：实现,,The act of accomplishing something via previous efforts. It is an instantaneous action rather than an ongoing process.,通过之前的努力完成了一件事的动作。 它是一个瞬时的动作，而不是一个持续的过程,http://kgs.mykg.ai/Action,"http://kgs.mykg.ai/actionStatus, http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/agent, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/endTime, http://kgs.mykg.ai/error, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/instrument, http://kgs.mykg.ai/location, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/name, http://kgs.mykg.ai/object, http://kgs.mykg.ai/participant, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/result, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/startTime, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/target, http://kgs.mykg.ai/url",,,,,http://schema.org/AchieveAction
class,Action,动作,"行动,操作","An action performed by a direct agent and indirect participants upon a direct object. Optionally happens at a location with the help of an inanimate instrument. The execution of the action may produce a result. Specific action sub-type documentation specifies the exact expectation of each argument/role.<br/><br/><br/><br/>See also <a href=""http://blog.schema.org/2014/04/announcing-schemaorg-actions.html"">blog post</a> and <a href=""http://schema.org/docs/actions.html"">Actions overview document</a>.",由直接代理人和间接参与者在一个直接对象上执行的操作。 有时可以在一个有无生命仪器帮助的地点发生。 该动作的执行可能会产生一个结果。 具体操作子类型文档指定每个参数/角色的准确期望值。 另请参阅博客文章和操作概述文档。,http://kgs.mykg.ai/Thing,"http://kgs.mykg.ai/actionStatus, http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/agent, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/endTime, http://kgs.mykg.ai/error, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/instrument, http://kgs.mykg.ai/location, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/name, http://kgs.mykg.ai/object, http://kgs.mykg.ai/participant, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/result, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/startTime, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/target, http://kgs.mykg.ai/url",,,,,http://schema.org/Action
class,ActionAccessSpecification,,,A set of requirements that a must be fulfilled in order to perform an Action.,,http://kgs.mykg.ai/Intangible,"http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/availabilityEnds, http://kgs.mykg.ai/availabilityStarts, http://kgs.mykg.ai/category, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/eligibleRegion, http://kgs.mykg.ai/expectsAcceptanceOf, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/name, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/requiresSubscription, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/url",,,,,http://schema.org/ActionAccessSpecification
class,ActionStatusType,动作状态类型,,The status of an Action.,一个动作的状态,http://kgs.mykg.ai/Enumeration,"http://kgs.mykg.ai/additionalType, http://kgs.mykg.ai/alternateName, http://kgs.mykg.ai/description, http://kgs.mykg.ai/disambiguatingDescription, http://kgs.mykg.ai/identifier, http://kgs.mykg.ai/image, http://kgs.mykg.ai/mainEntityOfPage, http://kgs.mykg.ai/name, http://kgs.mykg.ai/potentialAction, http://kgs.mykg.ai/sameAs, http://kgs.mykg.ai/subjectOf, http://kgs.mykg.ai/url",,,,,http://schema.org/ActionStatusType
